School Name,Type,Region,State,Longitude,Latitude,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,1st,2nd,3rd,4th,5th
South Dakota State University (SDSU),State,Midwestern,SD,-96.783415,44.31942,41100,73500,34100,49900,99400,129000,Business Management,Psychology,Education,Criminal Justice,Communications
Southern Illinois University Carbondale,State,Midwestern,IL,-89.221214,37.717389,43000,72500,38300,51300,99300,139000,Nursing,Business Management,Psychology,Biology,Criminal Justice
Southern Utah University,State,Western,UT,-113.070146,37.674617,41900,56500,,39700,78400,,Education,Nursing,Biology,Psychology,Accounting
St. Cloud State University,State,Midwestern,MN,-94.152657,45.5532272,41800,71400,38700,49400,101000,126000,Communications,Business Management,Marketing,Finance,Criminal Justice
"St. John's University, New York",Private,Northeastern,NY,-73.795027,40.72202659,48000,93400,48000,65400,124000,181000,Biology,Communications,Finance,Criminal Justice,Physician Assistant
St. Olaf College,Liberal Arts,Midwestern,MN,-93.183318,44.46195598,45300,86200,41300,61000,120000,185000,Biology,Math,Economics,Psychology,Chemistry
Stanford University,Private,California,CA,-122.175045,37.4329738,70400,129000,68400,93100,184000,257000,Computer Science,Biology,Mechanical Engineering,Economics,Psychology
State University of New York (SUNY) at Albany,Party,Northeastern,NY,-73.825014,42.68691742,44500,92200,47000,63100,135000,209000,Biology,Psychology,Business Management,Economics,English
State University of New York (SUNY) at Buffalo,State,Northeastern,NY,-78.880684,42.93369956,46200,81700,45900,61400,110000,147000,Business Management,Psychology,Sociology,Communications,Mechanical Engineering
State University of New York (SUNY) at Farmingdale,State,Northeastern,NY,-73.4267,40.753,47300,84200,50200,59800,110000,162000,Business Management,Criminal Justice,Computer Science,Nursing,Biology
State University of New York (SUNY) at Fredonia,State,Northeastern,NY,-79.3404,42.4539,37800,66200,32800,44200,93300,181000,Business Management,Psychology,Criminal Justice,International Relations,Information Technology (IT)
State University of New York (SUNY) at Geneseo,State,Northeastern,NY,-77.821999,42.79686373,42300,81300,39300,47600,117000,173000,Psychology,Biology,Communications,Business Management,Accounting
State University of New York (SUNY) at Oneonta,State,Northeastern,NY,-75.064,42.4695,37500,76700,40000,54300,97700,155000,Communications,Economics,Psychology,Biology,Education
State University of New York (SUNY) at Oswego,State,Northeastern,NY,-76.543885,43.45377044,38000,77800,40400,53000,115000,169000,Business Management,Psychology,Drama,Education,Marketing
State University of New York (SUNY) at Plattsburgh,State,Northeastern,NY,-73.466657,44.69308772,40800,76200,38400,54100,105000,136000,Business Management,Psychology,Criminal Justice,Nursing,Communications
State University of New York (SUNY) at Potsdam,State,Northeastern,NY,-74.976889,44.662862,38000,70300,35100,51200,100000,179000,Business Management,Psychology,Education,Biology,Communications
Stevens Institute of Technology,Engineering,Northeastern,NJ,-74.025334,40.744776,60600,105000,68700,81900,138000,185000,Mechanical Engineering,Computer Science,Business Management,Chemical Engineering,Civil Engineering
Stony Brook University,State,Northeastern,NY,-73.12112,40.91554,49500,93000,47200,67100,129000,181000,Nutrition,Psychology,Business Management,Math,Biology
Suffolk University,Private,Northeastern,MA,-71.060985,42.35801021,42100,74000,48700,57800,95100,145000,Finance,Marketing,Business Management,Communications,Accounting
Swarthmore College,Liberal Arts,Northeastern,PA,-75.351639,39.90598596,49700,104000,,67200,167000,,Economics,Political Science,Biology,Math,Education
Syracuse University,Party,Northeastern,NY,-76.13267,43.039891,45700,85900,46400,59400,119000,178000,Information Technology (IT),Psychology,Economics,Finance,Drama
Tarleton State University (TSU),State,Southern,TX,-98.22008,32.21566501,40800,62400,32100,47400,80400,126000,Business Management,Nursing,Psychology,Nutrition,Agriculture
Tennessee Technological University,Engineering,Southern,TN,-85.503957,36.17465917,46200,80000,42100,62600,99500,121000,Mechanical Engineering,Education,Business Management,Nursing,Education
Texas A&M University,State,Southern,TX,-97.774883,31.0531369,49700,96100,51100,71300,131000,171000,Agriculture,Nutrition,Psychology,Biology,Business Management
Texas Christian University (TCU),Private,Southern,TX,-97.361537,32.70956756,45100,78100,42600,56600,122000,183000,Nursing,Communications,Finance,Economics,Marketing
Thomas Aquinas College,Liberal Arts,California,CA,-119.087141,34.429009,41500,67500,,44600,93100,,Criminal Justice,Psychology,Business Management,Education,Biology
Tulane University,Private,Southern,LA,-90.120409,29.93969617,49100,95800,46500,64400,134000,185000,Finance,Business Management,Marketing,Health Care Administration,Economics
Tusculum College,Private,Southern,TN,-82.761716,36.17255833,36900,55500,36200,43000,87300,124000,Business Management,Psychology,Nursing,Nutrition,Education
Union College,Liberal Arts,Northeastern,KY,-83.887768,36.86913017,47200,95800,48700,75200,135000,230000,Economics,Biology,Mechanical Engineering,Political Science,Psychology
University of Akron,State,Midwestern,OH,-81.5114,41.077,41100,70300,40600,53300,95200,127000,Economics,Math,Biology,International Relations,Political Science
University of Alabama at Birmingham (UAB),State,Southern,AL,-86.80917,33.50223,39200,70100,43000,53400,91400,125000,Business Management,Psychology,Marketing,Nursing,Finance
University of Alabama at Huntsville (UAH),State,Southern,AL,-86.6398,34.7251,43100,82700,46100,67800,106000,132000,Nursing,Business Management,Mechanical Engineering,Psychology,Marketing
"University of Alabama, Tuscaloosa",Party,Southern,AL,-87.5391,33.214,41300,81400,40100,56500,117000,161000,Nursing,Business Management,Psychology,Health Care Administration,Biology
"University of Alaska, Anchorage",State,Western,AK,-149.8196,61.191,45900,72600,39800,56600,99300,137000,Nursing,Mechanical Engineering,Business Management,Information Technology (IT),Accounting
University of Arizona,State,Western,AZ,-110.950086,32.23286613,47500,86100,44800,61700,117000,160000,Finance,Business Management,Marketing,Nursing,Accounting
University of Arkansas,State,Southern,AR,-94.177852,36.06564171,44100,82800,43200,60700,113000,160000,Nursing,Accounting,Psychology,Business Management,Mechanical Engineering
University of Arkansas - Monticello (UAM),State,Southern,AR,-91.8136,33.5918,39200,74500,,46100,110000,,Psychology,Biology,Communications,Health Care Administration,Economics
University of California at Los Angeles (UCLA),State,California,CA,-118.443901,34.0688923,52600,101000,51300,72500,139000,193000,Nursing,Finance,Marketing,Biology,Education
"University of California, Berkeley",State,California,CA,-122.24851,37.875759,59900,112000,59500,81000,149000,201000,Nursing,Education,Construction,Business Management,MIS
"University of California, Davis",State,California,CA,-121.75103,38.53820558,52300,99600,52000,71600,135000,202000,Economics,Political Science,Sociology,Biology,Psychology
"University of California, Irvine (UCI)",State,California,CA,-117.837785,33.643163,48300,96700,47800,66000,123000,172000,Economics,Computer Science,Biology,Political Science,Business Management
"University of California, Riverside (UCR)",State,California,CA,-117.328766,33.9745475,46800,81300,37200,59900,109000,134000,Psychology,Economics,Computer Science,Communications,Biology
"University of California, San Diego (UCSD)",State,California,CA,-117.237794,32.87659766,51100,101000,51700,75400,131000,177000,Psychology,Biology,Computer Science,Economics,Health Care Administration
"University of California, Santa Barbara (UCSB)",Party,California,CA,-119.851493,34.412344,50500,95000,51300,71200,129000,173000,Business Management,Biology,Psychology,Sociology,Economics
"University of California, Santa Cruz (UCSC)",State,California,CA,-122.060726,36.99901842,44700,84100,46100,62000,121000,165000,Computer Science,Economics,Biology,Math,Psychology
University of Central Florida (UCF),State,Southern,FL,-81.200889,28.60215943,42600,71700,39500,51500,98400,125000,Sociology,Economics,Psychology,Communications,International Relations
University Of Chicago,Private,Midwestern,IL,-87.600922,41.79014558,53400,113000,62200,83300,174000,255000,Computer Science,Psychology,Economics,Sociology,Biology
University of Colorado - Boulder (UCB),State,Western,CO,-105.267061,40.00441507,47100,97600,51600,69000,128000,187000,Psychology,Hospitality & Tourism,Health Care Administration,Nursing,Business Management
University of Colorado - Denver,State,Western,CO,-104.839345,39.74521411,46100,84400,46400,58600,105000,144000,Economics,Computer Science,Biology,Political Science,Business Management
University of Connecticut (UConn),State,Northeastern,CT,-72.256961,41.807658,48000,88800,46100,66400,120000,162000,Business Management,Nursing,Biology,Economics,Psychology
University of Delaware,State,Southern,DE,-75.752833,39.678028,45900,84500,44500,64000,119000,165000,Psychology,Economics,Communications,Biology,Nursing
University of Florida (UF),Party,Southern,FL,-82.361195,29.638248,47100,87900,45400,62900,120000,172000,Finance,Marketing,Nursing,Nutrition,Psychology
University of Georgia (UGA),Party,Southern,GA,-83.37143,33.937727,44100,86000,43100,57800,118000,164000,Biology,Psychology,Mechanical Engineering,Finance,Political Science
University of Hawaii,State,Western,HI,157.8171,21.2969,43800,76000,40400,56300,104000,128000,Finance,Psychology,Biology,Business Management,Marketing
University of Houston (UH),State,Southern,TX,-95.344851,29.719988,46000,79900,42000,56200,106000,141000,Nutrition,Nursing,Psychology,Communications,Business Management
University of Idaho,State,Western,ID,-117.024296,46.72689377,44900,82000,43000,56700,104000,142000,Psychology,Finance,Accounting,Nutrition,Biology
University of Illinois at Chicago,State,Midwestern,IL,-87.650503,41.87183722,47500,81700,44700,58800,110000,146000,Psychology,Mechanical Engineering,Marketing,Finance,Business Management
University of Illinois at Urbana-Champaign (UIUC),Party,Midwestern,IL,-88.228482,40.1083116,52900,96100,48200,68900,132000,177000,Psychology,Biology,Nursing,Finance,Nutrition
University of Iowa (UI),Party,Midwestern,IA,-91.535698,41.66069518,44700,83900,43300,61100,116000,163000,Psychology,Economics,Accounting,Computer Science,Biology
University of Kansas,State,Midwestern,KS,-95.258651,38.956474,42400,81600,44800,57200,115000,156000,Nutrition,Finance,Business Management,Psychology,Nursing
University of Kentucky (UK),State,Southern,KY,-84.502517,38.028761,42800,78300,43000,57300,107000,149000,Journalism,Psychology,Finance,Nursing,Biology
University of Louisiana (UL) at Lafayette,State,Southern,LA,-92.0204,30.2114,41100,76300,42000,54500,107000,163000,Marketing,Business Management,Nursing,Psychology,Finance
University Of Maine,State,Northeastern,ME,-68.669332,44.899257,41200,72100,41700,55600,99300,141000,Nursing,Education,Business Management,Biology,Psychology
University of Maryland Baltimore County (UMBC),State,Southern,MD,-76.711607,39.25668589,47000,77800,46900,59100,105000,130000,Biology,Psychology,Information Technology (IT),Computer Science,Economics
"University of Maryland, College Park",Party,Southern,MD,-76.939704,38.98860655,52000,95000,50400,68300,126000,166000,Information Technology (IT),Economics,Biology,Criminal Justice,Finance
University of Massachusetts (UMass) - Amherst,State,Northeastern,MA,-72.529312,42.388647,46600,88200,43100,61300,122000,168000,Psychology,Economics,Communications,Health Care Administration,Biology
University of Massachusetts (UMass) - Boston,State,Northeastern,MA,-71.039814,42.31433173,45600,78200,36300,53800,109000,151000,Business Management,Psychology,Biology,Education,Nursing
University of Massachusetts (UMass) - Dartmouth,State,Northeastern,MA,-71.006837,41.62899868,43200,77700,43300,56200,107000,132000,Nursing,Psychology,Business Management,Accounting,Criminal Justice
University of Massachusetts (UMass) - Lowell,State,Northeastern,MA,-71.325081,42.65371976,45400,86600,50900,65000,113000,158000,Business Management,Criminal Justice,Information Technology (IT),Psychology,Mechanical Engineering
University of Memphis (U of M),State,Southern,TN,-89.937883,35.12207587,41400,69700,36100,49100,93500,127000,Nursing,Nutrition,Psychology,Criminal Justice,Accounting
University of Michigan,State,Midwestern,MI,-83.736564,42.27803,52700,93000,50900,69400,128000,182000,Information Technology (IT),Business Management,Economics,Psychology,Political Science
University of Minnesota,State,Midwestern,MN,-93.2277,44.974,46200,84200,49000,63200,112000,148000,Psychology,Economics,Biology,Computer Science,Finance
University of Mississippi,Party,Southern,MS,-89.537169,34.36343843,41400,79700,40400,53500,108000,186000,Nursing,Accounting,Marketing,Finance,Communications
University of Missouri - Columbia,State,Midwestern,MO,-92.326429,38.941015,41700,81000,43500,57100,111000,156000,Business Management,Journalism,Health Care Administration,Psychology,Biology
University of Missouri - Kansas City (UMKC),State,Midwestern,MO,-94.5766,39.03372423,38900,65800,36300,48100,95800,124000,Business Management,Nursing,Biology,Psychology,Health Care Administration
University of Missouri - Rolla (UMR),State,Midwestern,MO,-91.7756,37.9537,57100,95800,67600,80400,122000,166000,Business Management,Journalism,Health Care Administration,Psychology,Biology
University of Missouri - St. Louis (UMSL),State,Midwestern,MO,-90.308886,38.71129669,41400,67100,36800,49600,97600,144000,Business Management,Nursing,Psychology,Communications,Accounting
University of Montana,State,Western,MT,-113.9852,46.8601,37300,71900,37000,51500,96400,138000,Business Management,Psychology,Education,Sociology,Anthropology
University of Nebraska,State,Midwestern,NE,-96.7005,40.8202,45700,80900,42200,56600,113000,156000,Business Management,Psychology,International Relations,Finance,Nutrition
University of Nebraska at Omaha,State,Midwestern,NE,-96.009741,41.25794626,41500,72600,39500,54400,97400,126000,Criminal Justice,Psychology,Business Management,Accounting,Biology
"University of Nevada, Las Vegas (UNLV)",State,Western,NV,-115.1432,36.1085,45200,71600,39000,52400,100000,128000,Hospitality & Tourism,Psychology,Criminal Justice,Communications,Nutrition
"University of Nevada, Reno (UNR)",State,Western,NV,-119.8164,39.5442,46500,82900,41900,54600,113000,143000,Nutrition,Biology,Psychology,Business Management,Criminal Justice
University of New Hampshire (UNH),Party,Northeastern,NH,-70.937,43.1389,41800,78300,41700,56400,114000,147000,Business Management,Psychology,Communications,Biology,Mechanical Engineering
University of New Haven,Private,Northeastern,CT,-72.961472,41.29131434,44400,82900,48500,66100,113000,157000,Criminal Justice,Psychology,Biology,Business Management,Communications
University of New Mexico (UNM),State,Western,NM,-106.6198,35.0843,41600,81600,41800,59100,105000,141000,Business Management,Psychology,Nursing,Biology,Criminal Justice
University of North Carolina at Chapel Hill (UNCH),State,Southern,NC,-79.050969,35.91216532,42900,81500,43400,57500,117000,155000,Communications,Biology,Psychology,Economics,Political Science
University of North Carolina at Charlotte (UNCC),State,Southern,NC,-80.73579,35.30683411,43100,74000,38200,53200,99500,133000,Psychology,Communications,Computer Science,Finance,Nursing
University of North Carolina at Wilmington (UNCW),State,Southern,NC,-77.8696,34.2239,37500,64400,32100,46600,97100,129000,Business Management,Nursing,Psychology,Biology,Communications
University of North Dakota,State,Midwestern,ND,-97.071738,47.921654,44000,80600,43400,56400,111000,157000,Communications,Psychology,Nursing,Mechanical Engineering,Accounting
University of Notre Dame,Private,Midwestern,IN,-86.237075,41.699587,56300,116000,66400,85100,163000,235000,Finance,Economics,Mechanical Engineering,Political Science,Math
University of Oklahoma,State,Southern,OK,-97.4457,35.2059,44700,82900,41200,60300,114000,167000,Finance,Psychology,Accounting,Journalism,Nutrition
University of Oregon,State,Western,OR,-123.07398,44.044515,42200,78400,38100,56200,117000,186000,Business Management,Sociology,Economics,Psychology,Marketing
University of Pennsylvania,Ivy League,Northeastern,PA,-75.193618,39.95100193,60900,120000,55900,79200,192000,282000,Finance,Economics,Nursing,Business Management,Philosophy
University of Puget Sound,Liberal Arts,Western,WA,-122.481199,47.26359389,46600,81500,48900,60100,104000,137000,Business Management,Psychology,Biology,International Relations,Political Science
University of Rhode Island (URI),State,Northeastern,RI,-71.528708,41.489334,43900,85300,45400,60100,112000,157000,Nursing,Psychology,Communications,Nutrition,Biology
University of Richmond,Liberal Arts,Southern,VA,-77.538797,37.57739933,48600,94600,44500,59400,151000,211000,Business Management,Biology,Economics,Accounting,Psychology
University of South Carolina,State,Southern,SC,-81.0299,33.9938,40000,71700,36300,49900,98400,131000,Finance,Marketing,Business Management,Nutrition,MIS
University of South Florida (USF),State,Southern,FL,-82.4139,28.0587,41100,71100,39600,51500,98100,131000,Health Care Administration,Biology,Nursing,Communications,Psychology
University of Southern California (USC),Private,California,CA,-118.283858,34.021058,54800,99600,49700,73800,140000,201000,Business Management,Communications,Biology,Accounting,International Relations
University of Southern Maine,State,Northeastern,ME,-70.276073,43.6622514,39400,63600,40400,47900,85700,117000,Business Management,Psychology,Marketing,Nursing,Finance
University of Tennessee,Party,Southern,TN,-83.9295,35.9544,43800,74600,41900,53200,106000,153000,Psychology,Nutrition,Biology,Nursing,Marketing
University of Texas (UT) - Austin,Party,Southern,TX,-97.7341,30.2849,49700,93900,50100,67400,129000,188000,Business Management,Biology,Information Technology (IT),Economics,Psychology
University of Texas at Arlington (UTA),State,Southern,TX,-97.1121,32.7291,45400,80800,46400,61200,106000,138000,Nursing,Business Management,Biology,Marketing,Nutrition
University of Texas at El Paso (UTEP),State,Southern,TX,-106.5046,31.7709,43400,72100,37700,50400,99500,133000,Nursing,Criminal Justice,Biology,Psychology,Nutrition
University of Texas at San Antonio (UTSA),State,Southern,TX,-98.6189,29.5827,42500,70700,39100,49800,92700,121000,Psychology,Biology,Nutrition,Criminal Justice,Communications
University of Toledo,State,Midwestern,OH,-83.615936,41.6572464,43100,75900,40100,54100,100000,133000,Marketing,Nursing,Mechanical Engineering,Business Management,Finance
University of Tulsa,Private,Southern,OK,-95.945175,36.15188744,42400,88700,42300,60300,120000,197000,Mechanical Engineering,Finance,Accounting,Business Management,Chemical Engineering
University of Utah,State,Western,UT,-111.846044,40.76248351,45400,83200,43000,58400,116000,148000,Communications,Psychology,Economics,Business Management,Nutrition
University of Vermont (UVM),State,Northeastern,VT,-73.198128,44.47926159,44800,82700,44700,58000,122000,194000,Business Management,Psychology,Nursing,Economics,Mechanical Engineering
University of Virginia (UVA),State,Southern,VA,-78.511845,38.033977,52700,103000,52200,71800,146000,215000,Economics,Business Management,Biology,International Relations,Psychology
University of Washington (UW),State,Western,WA,-122.310802,47.65577518,48800,85300,47000,59800,115000,149000,Psychology,Communications,Political Science,Finance,Biology
University of Wisconsin (UW) - Eau Claire,State,Midwestern,WI,-91.500432,44.79843117,41400,64800,35000,47300,93100,125000,Business Management,Nursing,Psychology,Marketing,Nutrition
University of Wisconsin (UW) - Green Bay,State,Midwestern,WI,-87.920499,44.53110154,35800,60600,35500,46800,81800,102000,Business Management,Biology,Psychology,Nursing,Education
University of Wisconsin (UW) - La Crosse,State,Midwestern,WI,-91.230125,43.81539006,42200,69300,37500,47200,93100,133000,Biology,Nutrition,Psychology,Finance,Marketing
University of Wisconsin (UW) - Madison,State,Midwestern,WI,-89.405356,43.07385753,48900,87800,47400,62400,118000,170000,Biology,Economics,Information Technology (IT),Health Care Administration,Psychology
University of Wisconsin (UW) - Milwaukee,State,Midwestern,WI,-87.880488,43.07684762,42300,74600,40600,54000,93700,123000,Nursing,Marketing,Finance,Communications,Psychology
University of Wisconsin (UW) - Oshkosh,State,Midwestern,WI,-88.549282,44.02498538,39300,66400,37700,49700,90100,138000,Nursing,Education,Biology,Finance,Psychology
University of Wisconsin (UW) - Parkside,State,Midwestern,WI,-87.855407,42.64607382,40700,71400,40900,53100,84900,119000,Business Management,Psychology,Criminal Justice,Communications,Nutrition
University of Wisconsin (UW) - Platteville,State,Midwestern,WI,-90.48792,42.73423024,45800,78500,48400,61200,100000,139000,Mechanical Engineering,Business Management,Criminal Justice,Biology,Agriculture
University of Wisconsin (UW) - Stevens Point,State,Midwestern,WI,-89.570934,44.529582,39800,64000,38400,45100,95400,128000,Business Management,Biology,Forestry,Psychology,Education
University of Wisconsin (UW) - Stout,State,Midwestern,WI,-91.925269,44.871765,43600,68300,40900,50600,91600,136000,Business Management,Education,MIS,Hospitality & Tourism,Graphic Design
University of Wisconsin (UW) - Whitewater,State,Midwestern,WI,-88.742368,42.835563,40800,75500,38200,53500,99300,150000,Finance,Marketing,Communications,Business Management,Accounting
University of Wyoming (UW),State,Western,WY,-105.57204,41.311943,44500,78700,41500,54000,105000,145000,Nursing,Psychology,Education,MIS,Nutrition
Ursinus College,Liberal Arts,Northeastern,PA,-75.458029,40.19423605,42100,80000,35600,54300,100000,160000,Biology,Economics,Nutrition,Psychology,Communications
Utah State University,State,Western,UT,-111.81391,41.740748,43800,78700,41600,55400,101000,132000,Economics,Business Management,Information Technology (IT),Education,Psychology
Utah Valley State College,State,Western,UT,-111.717058,40.2785117,42400,67100,,44100,84900,,Psychology,Business Management,Communications,Computer Engineering,Accounting
Vanderbilt University,Private,Southern,TN,-86.804875,36.14442982,51200,104000,49900,68100,147000,222000,Economics,Math,Computer Science,Political Science,Psychology
Vassar College,Liberal Arts,Northeastern,NY,-73.897581,41.68599708,46000,94600,,60600,123000,,Political Science,Economics,Psychology,Biology,English
Villanova University,Private,Northeastern,PA,-75.340222,40.03577163,55800,101000,56800,76200,156000,226000,Finance,Nursing,Communications,Economics,MIS
Virginia Commonwealth University (VCU),State,Southern,VA,-77.453597,37.5476308,42000,68400,37400,51900,100000,123000,Psychology,Business Management,Biology,Education,Communications
Virginia Polytechnic Institute and State University (Virginia Tech),Engineering,Southern,VA,-80.419988,37.2299064,53500,95400,50600,71400,124000,163000,Mechanical Engineering,MIS,Finance,Nutrition,Information Technology (IT)
Virginia Wesleyan College (VWC),Private,Southern,VA,-76.18606,36.86841713,34600,54900,,37100,88900,,Business Management,Criminal Justice,Biology,Psychology,Communications
Washington and Lee University,Liberal Arts,Southern,VA,-79.442869,37.78897441,53600,104000,,82800,146000,,Psychology,Nursing,Sociology,Mechanical Engineering,Accounting
Washington State University (WSU),State,Western,WA,-117.158168,46.730448,45300,84700,43600,59000,113000,162000,Business Management,Economics,Political Science,Accounting,Math
Wayne State University,State,Midwestern,MI,-83.072864,42.35861,42800,76100,40100,56200,101000,139000,Psychology,Biology,Business Management,Nursing,Health Care Administration
Wellesley College,Liberal Arts,Northeastern,MA,-71.306657,42.29374109,42800,83500,,58600,125000,,Economics,Information Technology (IT),Political Science,Biology,Psychology
Wentworth Institute of Technology,Engineering,Northeastern,MA,-71.094983,42.33663201,53000,96700,55200,74000,117000,153000,Mechanical Engineering,Construction,Architecture,Computer Science,Business Management
"Wesleyan University (Middletown, Connecticut)",Liberal Arts,Northeastern,CT,-72.656773,41.5568096,46500,97900,42000,62500,126000,215000,Economics,Psychology,English,Political Science,Biology
West Virginia University (WVU),Party,Southern,WV,-79.953926,39.63468,43100,78100,39700,55700,106000,141000,Journalism,Sociology,Psychology,Nursing,Education
Western Carolina University,State,Southern,NC,-83.184555,35.30936691,36900,66600,39000,49500,94400,133000,Nursing,Criminal Justice,Business Management,Marketing,Psychology
Western Michigan University (WMU),State,Midwestern,MI,-85.613482,42.28079931,42300,73800,40100,52500,103000,135000,Marketing,Health Care Administration,Psychology,Nursing,Business Management
Western Washington University,State,Western,WA,-122.485016,48.73737855,42700,75400,41300,56700,99200,119000,Psychology,Information Technology (IT),Business Management,Communications,Sociology
Whitman College,Liberal Arts,Western,WA,-118.329714,46.07148757,43500,80100,,64800,111000,,Biology,Political Science,Economics,Psychology,Geology
Widener University,Private,Northeastern,PA,-75.355216,39.86171641,52900,83400,42600,61400,106000,138000,Nursing,Psychology,Physician Assistant,Business Management,Mechanical Engineering
Williams College,Liberal Arts,Northeastern,MA,-73.203071,42.7127729,51700,102000,,76400,143000,,Economics,Math,Biology,Political Science,History
Wittenberg University,Liberal Arts,Midwestern,OH,-83.813911,39.93479432,39200,78200,,54100,131000,,Biology,Psychology,Marketing,Education,Business Management
Worcester Polytechnic Institute (WPI),Engineering,Northeastern,MA,-71.809765,42.2743459,61000,114000,80000,91200,137000,180000,Mechanical Engineering,Computer Science,Chemical Engineering,Electrical Engineering,Aerospace Engineering
Yale University,Ivy League,Northeastern,CT,-72.922511,41.31230826,59100,126000,58000,80600,198000,326000,Economics,History,Political Science,Biology,English
