School Name,Type,Region,State,Longitude,Latitude,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,1st,2nd,3rd,4th,5th
Colorado College (CC),Liberal Arts,Western,CO,-104.822678,38.84885428,38500,81400,,43000,148000,,Economics,Political Science,Biology,Sociology,Physics
Colorado School of Mines,Engineering,Western,CO,-105.222907,39.74909154,58100,106000,62200,87900,142000,201000,Mechanical Engineering,Computer Science,Chemical Engineering,Physics,Electrical Engineering
Colorado State University (CSU),State,Western,CO,-105.0865,40.5734,44800,79000,43800,57100,112000,150000,Business Management,Nutrition,Psychology,Mechanical Engineering,Communications
Columbia University,Ivy League,Northeastern,NY,-73.961885,40.80828575,59400,107000,50300,71900,161000,241000,Economics,Computer Science,Political Science,Psychology,History
Cooper Union,Engineering,Northeastern,NY,-73.990516,40.72937982,62200,114000,,80200,142000,,Graphic Design,Mechanical Engineering,Electrical Engineering,Chemical Engineering,Architecture
Cornell University,Ivy League,Northeastern,NY,-76.476535,42.448713,60300,110000,56800,79800,160000,210000,Biology,Computer Science,Business Management,Hospitality & Tourism,Agriculture
Dallas Baptist University,Private,Southern,TX,-96.946994,32.71010015,39400,60200,38500,50300,81800,98100,Business Management,Biology,Psychology,Education,Finance
Dartmouth College,Ivy League,Northeastern,NH,-71.9887,43.7044,58000,134000,63100,90200,234000,321000,Economics,Political Science,Computer Science,Biology,History
Davenport University,Private,Midwestern,MI,-85.529655,42.84971259,39700,46600,31600,38100,65600,85700,Nutrition,Business Management,Criminal Justice,Health Care Administration,Nursing
Davidson College,Liberal Arts,Southern,NC,-80.845236,35.50000638,46100,104000,,70500,146000,,Political Science,Economics,Biology,English,Psychology
Denison University,Liberal Arts,Midwestern,OH,-82.520625,40.0725823,42000,83500,,62100,122000,,Economics,Communications,English,Computer Science,Biology
DePaul University,Private,Midwestern,IL,-87.654116,41.92333183,46400,84800,50300,63900,115000,160000,Economics,Communications,Biology,Psychology,History
DePauw University,Liberal Arts,Midwestern,IN,-86.863556,39.63953025,41400,88300,49500,57400,133000,185000,Accounting,Finance,International Relations,Psychology,Marketing
Dowling College,Private,Northeastern,NY,-73.14491,40.73991,41100,82800,46500,60600,117000,142000,Communications,Computer Science,Education,English,Math
Drexel University,Private,Northeastern,PA,-75.188745,39.95485501,53400,93500,54900,72500,122000,161000,Nursing,Accounting,Mechanical Engineering,Marketing,MIS
Duke University,Private,Southern,NC,-78.938597,36.00234351,58900,106000,56000,77400,149000,218000,Computer Science,Economics,International Relations,Biology,Psychology
Duquesne University,Private,Northeastern,PA,-79.993046,40.437496,40700,84400,42600,59500,107000,131000,Nursing,Marketing,Biology,Finance,Accounting
East Carolina University (ECU),State,Southern,NC,-77.366199,35.606347,40200,67500,38400,52000,98700,151000,Communications,Nursing,Education,Business Management,Criminal Justice
Eastern Michigan University,State,Midwestern,MI,-83.625156,42.250277,40300,72100,37900,52800,95400,135000,Nursing,Psychology,Business Management,Communications,Education
Eastern Washington University,State,Western,WA,-117.589371,47.49129315,38600,70900,36000,50500,93100,117000,Business Management,Biology,Psychology,Communications,Criminal Justice
Embry-Riddle Aeronautical University (ERAU),Engineering,Southern,FL,-81.04951,29.18926994,52700,80700,49800,64000,106000,142000,Aerospace Engineering,Business Management,Mechanical Engineering,Psychology,Physics
Emory University,Private,Southern,GA,-84.325818,33.79326806,52000,91600,52500,63300,128000,192000,Business Management,Nursing,Biology,Economics,Psychology
Evergreen State College,Liberal Arts,Western,WA,-122.977492,47.07381966,39500,63900,38800,47200,91600,120000,Biology,Business Management,Film,Psychology,English
Fairleigh Dickinson University,Private,Northeastern,NJ,-74.435359,40.77736403,45700,78700,40200,56300,112000,171000,Psychology,Nursing,Criminal Justice,Business Management,Biology
Fashion Institute of Technology,Private,Northeastern,NY,-73.994781,40.74730956,42800,81000,38800,60500,106000,138000,Business Management,Marketing,Graphic Design,Interior Design,Art History
