School Name,1st,2nd,3rd,4th,5th
University of Wisconsin (UW) - Madison,Biology,Economics,Information Technology (IT),Health Care Administration,Psychology
Bradley University,Nursing,Mechanical Engineering,Accounting,Business Management,Civil Engineering
St. Olaf College,Biology,Math,Economics,Psychology,Chemistry 
Michigan State University (MSU),Marketing,Communications,Economics,Biology,Finance
DePaul University,Accounting,Finance,International Relations,Psychology,Marketing
Iowa State University,Mechanical Engineering,Agriculture,Nutrition,Marketing,Finance
University of Minnesota,Psychology,Economics,Biology,Computer Science,Finance
"Indiana University (IU), Bloomington",Business Management,Management Information Systems (MIS),Computer Science,Nutrition,Biology
University of Iowa (UI),Nutrition,Finance,Business Management,Psychology,Nursing
Ohio State University (OSU),Finance,Psychology,Communications,Marketing,Accounting
Denison University,Economics,Communications,Biology,Psychology,History
University of Illinois at Chicago,Psychology,Biology,Nursing,Finance,Nutrition
Oberlin College,Music,Political Science,Biology,Economics,Psychology
University of Kansas,Journalism,Psychology,Finance,Nursing,Biology
University of Missouri - Columbia,Business Management,Journalism,Health Care Administration,Psychology,Biology
University of Nebraska,Business Management,Psychology,International Relations,Finance,Nutrition
Northern Illinois University (NIU),Accounting,Communications,Psychology,Health Care Administration,Nursing
Gustavus Adolphus College,Psychology,Business Management,Biology,Economics,Political Science 
University of North Dakota,Communications,Psychology,Nursing,Mechanical Engineering,Accounting
Kansas State University (KSU),Business Management,Mechanical Engineering,Finance,Marketing,Education
University of Wisconsin (UW) - Platteville,Mechanical Engineering,Business Management,Criminal Justice,Biology,Agriculture
Wittenberg University,Biology,Psychology,Marketing,Education,Business Management 
North Dakota State University (NDSU),Nursing,Mechanical Engineering,Business Management,Psychology,Agriculture
Grinnell College,Economics,Computer Science ,Political Science,Biology,Psychology
Wayne State University,Psychology,Biology,Business Management,Nursing,Health Care Administration
University of Toledo,Marketing,Nursing,Mechanical Engineering ,Business Management,Finance
University of Wisconsin (UW) - Whitewater,Finance,Marketing,Communications,Business Management,Accounting
Minnesota State University - Mankato,Nursing,Communications,Psychology,Business Management,Marketing
University of Wisconsin (UW) - Milwaukee,Nursing,Marketing,Finance,Communications,Psychology
Western Michigan University (WMU),Marketing,Health Care Administration,Psychology,Nursing,Business Management 
South Dakota State University (SDSU),Business Management,Psychology,Education,Criminal Justice,Communications
Ohio University,Nursing,Business Management,Communications,Marketing,Journalism
Illinois State University,Finance,Marketing,Agriculture,Accounting,Management Information Systems (MIS)
Cleveland State University,Psychology,Nursing,Business Management,Biology,Mechanical Engineering 
University of Nebraska at Omaha,Criminal Justice,Psychology,Business Management,Accounting,Biology
Southern Illinois University Carbondale,Nursing,Business Management,Psychology,Biology,Criminal Justice
Eastern Michigan University,Nursing,Psychology,Business Management,Communications,Education
Bowling Green State University,Education,Biology,Psychology,English,Accounting
St. Cloud State University,Communications,Business Management,Marketing,Finance,Criminal Justice
University of Wisconsin (UW) - Parkside,Business Management,Psychology,Criminal Justice,Communications,Nutrition
University of Akron,Nursing,Business Management,Mechanical Engineering ,Psychology,Marketing
Missouri State University (MSU),Business Management,Psychology,Education,Communications,Marketing
University of Wisconsin (UW) - La Crosse,Biology,Nutrition,Psychology,Finance,Marketing
University of Wisconsin (UW) - Stout,Business Management,Education,Management Information Systems (MIS),Hospitality & Tourism,Graphic Design
Robert Morris College (RMC),Nursing,Accounting,Business Management,Computer Science,Finance
University of Missouri - St. Louis (UMSL),Business Management,Nursing,Psychology,Communications,Accounting
University of Wisconsin (UW) - Oshkosh,Nursing,Education,Biology,Finance,Psychology
University of Missouri - Kansas City (UMKC),Business Management,Nursing,Biology,Psychology,Health Care Administration
University of Wisconsin (UW) - Eau Claire,Business Management,Nursing,Psychology,Marketing,Nutrition
Ball State University (BSU),Communications,Psychology,Nursing,Business Management,Education
Park University,Business Management,Psychology,Criminal Justice,Information Technology (IT),Management Information Systems (MIS)
University of Wisconsin (UW) - Stevens Point,Business Management,Biology,Forestry,Psychology,Education
Kent State University,Nursing,Psychology,Business Management,Marketing,Communications
University of Wisconsin (UW) - Green Bay,Business Management,Biology,Psychology,Nursing,Education
Indiana Wesleyan University (IWU),Nursing,Liberal Arts,Business Management,Religion,Education
Pittsburg State University,Nursing,Education,Business Management,Psychology,Communications
Davenport University,Nutrition,Business Management,Criminal Justice,Health Care Administration,Nursing
Black Hills State University,Business Management,Education,Biology,Sociology,Communications
Rice University,Economics,Information Technology (IT),Chemical Engineering,Nutrition,Mechanical Engineering 
Georgetown University,Political Science ,International Relations,Finance,Economics,Psychology
Duke University,Computer Science,Economics,International Relations,Biology,Psychology
Georgia Institute of Technology,Information Technology (IT),Mechanical Engineering,Business Management,Industrial Engineering,Chemical Engineering
Washington and Lee University,Business Management,Economics,Political Science,Accounting,Math
Vanderbilt University,Economics,Math,Computer Science,Political Science,Psychology
Davidson College,Political Science ,Economics,Biology,English,Psychology
University of Virginia (UVA),Economics,Business Management,Biology,International Relations,Psychology
George Washington University (GWU),International Relations,Political Science,Nursing,Economics,Finance
Texas A&M University,Agriculture,Nutrition,Psychology,Biology,Business Management 
Tulane University,Finance,Business Management,Marketing,Health Care Administration,Economics
Virginia Polytechnic Institute and State University (Virginia Tech),Mechanical Engineering,Management Information Systems (MIS),Finance,Nutrition,Information Technology (IT)
"University of Maryland, College Park",Information Technology (IT),Economics,Biology,Criminal Justice,Finance
University of Richmond,Business Management,Biology,Economics,Accounting,Psychology
University of Texas (UT) - Austin,Business Management,Biology,Information Technology (IT),Economics,Psychology
Emory University,Business Management,Nursing,Biology,Economics,Psychology
"American University, Washington D.C.",International Relations,Business Management,Political Science,International Relations,Economics
University of Tulsa,Mechanical Engineering,Finance,Accounting,Business Management,Chemical Engineering
Baylor University,Biology,Nursing,Accounting,Marketing,Business Management 
University of Florida (UF),Biology,Psychology,Mechanical Engineering ,Finance,Political Science 
Louisiana State University (LSU),Communications,Biology,Education,Business Management,Marketing
George Mason University,Psychology,Criminal Justice,Accounting,Information Technology (IT),Biology
Clemson University,Industrial Engineering,Business Management,Marketing,Biology,Psychology
University of Georgia (UGA),Finance,Psychology,Biology,Business Management,Marketing
Auburn University,Biology,Mechanical Engineering,Business Management,Nutrition,Finance
University of Delaware,Finance,Marketing,Nursing,Nutrition,Psychology
Randolph-Macon College,Business Management,Biology,Communications,Psychology,Political Science 
North Carolina State University (NCSU),Business Management,Biology,Mechanical Engineering ,Communications,Psychology
University of Oklahoma,Finance,Psychology,Accounting,Journalism,Nutrition
University of Arkansas,Nursing,Finance,Marketing,Biology,Education
University of Alabama at Huntsville (UAH),Nursing,Mechanical Engineering,Business Management,Information Technology (IT),Accounting
Howard University,Biology,International Relations,Political Science,Communications,Psychology
University of North Carolina at Chapel Hill (UNCH),Communications,Biology,Psychology,Economics,Political Science 
"University of Alabama, Tuscaloosa",Finance,Business Management,Marketing,Nursing,Accounting
University of Texas at Arlington (UTA),Nursing,Business Management,Biology,Marketing,Nutrition
Oklahoma State University,Business Management,Marketing,Mechanical Engineering ,Finance,Accounting
Tennessee Technological University,Mechanical Engineering,Education,Business Management,Nursing,Education
University of Houston (UH),Psychology,Finance,Accounting,Nutrition,Biology
